"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C4, C6","5","1uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"2","D1","1","LED","LED_THT:LED_D5.0mm",""
"3","J1, J2, J3, J4","4","Screw_Terminal_01x03","TerminalBlock:TerminalBlock_bornier-3_P5.08mm",""
"4","R1, R3","2","220","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"5","R2","1","10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"6","R4, R5, R6, R7, R8, R9","6","100","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"7","SW1","1","SW_Push","Button_Switch_THT:SW_PUSH_6mm",""
"8","U1","1","Pico","MCU_RaspberryPi_and_Boards:RPi_Pico_SMD_TH",""
"9","U2","1","LM4040LP-3","Package_TO_SOT_THT:TO-92_Inline",""
"10","U3, U4, U5","3","BZX84C3V3","BZX84C3V3:SOT91P240X110-3N",""
